idx,branch_name,merge,left,right,notes,diff_size,diff_contains_java_file,left_tree_fingerprint,left parent test result,left parent test coverage,parents pass,right_tree_fingerprint,right parent test result,right parent test coverage,test merge
307,refs/heads/main,7131bc38b7b8213d2f75284b4a616af0ebbfce93,bd33be16a86e2982f9bfdd61a996d1b135799d33,4546ab887b928813124edde09d3fce85173e117c,,168,False,9f2759bc004a228af2a28e4b274cb6d643e15954cf5f657fe19953115d5b4824,Tests_failed,0.0,False,a0f416f4243ba91172013f566dd9bc58aa1d0545ef35bc644289a0c843640f6d,Tests_failed,0.0,False
308,refs/heads/main,bd33be16a86e2982f9bfdd61a996d1b135799d33,57ef10ab0dddda2c8fe2517db9758b797a1cc197,ac63d62da5617cd1f1bfd585055592b85a0c67c2,,4160,True,25b165a7d4e852d9747a05ae2a8e492c23e5a5d90cdfdce00903fe190e54245b,Tests_failed,0.0,False,9f2759bc004a228af2a28e4b274cb6d643e15954cf5f657fe19953115d5b4824,Tests_failed,0.0,False
309,refs/heads/main,57ef10ab0dddda2c8fe2517db9758b797a1cc197,02530fa3b927133cec32b18da9ca0493e2ee8ee9,c850a88c8b59422cad3eb8b3926fc97ea6a1aefb,,2037,True,1e747f26e41ea0dbc6a5021472f4fe24a85d3047e760abd6cd2c7445055e0bee,Tests_failed,0.0,False,25b165a7d4e852d9747a05ae2a8e492c23e5a5d90cdfdce00903fe190e54245b,Tests_failed,0.0,False
310,refs/heads/main,a96462f2080c4d1abb59eb5bc1fb697913d51661,a557a9e03b48625d27f341969b7fb278fd81e745,1868b810634fb58a4b1cfc1fcec86e288209e583,,1704,True,33cd2c0a241d7a504f06e3eacf880a3e6437716165b6cac54905134f76f37ebe,Tests_failed,0.0,False,2513b862b6a2ce24558b79d1bb47ef88c8e0c2d562b657cf321a71e8e8918861,Tests_failed,0.0,False
311,refs/heads/main,b6226eddd3ff146edfd1e5dccf99f3ef44f535b5,11e5f64d245884f15691c92f1edafedbeeb1a51f,f4e63602d41451e4fae404cfe983be1ae9b9c7c1,,13,False,91982c8157791e13194e28b489744f41c513bb764e815e7ff57df7e55a28a4a2,Tests_failed,0.0,False,d1c33a7d9f4425b8de5ba283ec16f0df10e7d91f98489174e2d3f09f8b167c7e,Tests_failed,0.0,False
312,refs/heads/main,11e5f64d245884f15691c92f1edafedbeeb1a51f,9a7123f162dd9ce7f53d76c1236b915ae60ed166,c3a0eaffca585eff1410964a8605919f74a18252,,254,False,2d6cce1f58057b00ea23cdb34e95e97f40b9efb3394d17800d058c8b015f374c,Tests_failed,0.0,False,21fc84a35b15b9c0ec3abda559e890d386a65aceb8e65fb23a67470330d3d14d,Tests_failed,0.0,False
317,refs/heads/main,3b8e02372befdbfcfe9545a78010d521565e9ae1,58346cb220d82245d8271bf063de5c435eafbcdb,0c51a963304e4676432e6e7c9150b04be68690cb,,1446,False,6317cdae5002d472efa75096e3ff528c931d195f18c3b3433bd38b61b27ce429,Tests_failed,0.0,False,678b1c08fca4ac106a83278f04e1d0376def2afdaeee06f9ebdc0c71f4289b27,Tests_failed,0.0,False
318,refs/heads/main,e73de853f17a41494411b4266802d179949b0b16,bddbbcd27c967af16ae168f812d3454ec14e8cc5,58346cb220d82245d8271bf063de5c435eafbcdb,,413,False,1bc7b36a14930dcf300a3349acb4e1e239b0fd4ea65c86b492efa752ce1c7b86,Tests_failed,0.0,False,6317cdae5002d472efa75096e3ff528c931d195f18c3b3433bd38b61b27ce429,Tests_failed,0.0,False
321,refs/heads/main,1f37df031ecd17aab07e1b54872c21d6a2b8f480,2b8943711980ba028b20b137fa8d8407512360d1,f3ea2966acdda9cd6b38d9b82db4465627635093,,10,False,3353772dd86ca4c3d7c63853261fbb79c74413f6174e66918526d17db5e923d3,Tests_failed,0.0,False,9ff64a5ebb88a0e25055b345d60e9a1916c99bb599442222c17e8b5747c63696,Tests_failed,0.0,False
322,refs/heads/main,04da1dd421a74ac0e1da2ef604e052a8bc3134ab,15461e4f330e7493a3411e423be6b2a20e4cf66c,ab698958df35eedb23e3034222ca66e527534ac8,,5,False,036981dd7aeffddb95213ee69bf2e1ad5c4158c8eb3d9b8ecb022c47f4264a5f,Tests_failed,0.0,False,03148abd9097f3d42e49fcea5c5c51cefe39664f619f36c526c771b5a83202a9,Tests_failed,0.0,False
324,refs/heads/main,4d46e7894d93465e3d24c62920ce1df06f9dc6b2,c95a9f68c5eaa39ed87ac0ff5ed8f201e2ee71cc,4ae95a54cc5c90693dde51e86ba5b8c5c9337eb2,,338,False,e7fe267aa07d47b9d9d6c4f5c9021d82377de898fb1fdebcc3879a2238186b17,Tests_failed,0.0,False,4274049c5384ea340bf857cdba434cfaeaa815739e96df97f54c5c24de2ee4eb,Tests_failed,0.0,False
325,refs/heads/main,c95a9f68c5eaa39ed87ac0ff5ed8f201e2ee71cc,f1929c3569c1c1c89474d226c29cefe6042713c3,b45802bb236f1a9d94f15f295b5b8e0b7b0e5683,,4,False,d9c2804a18c985b15a971e093036c4c2d9f483fa78186fab7f28523974f8acf2,Tests_failed,0.0,False,0a3182ad5fcf21a24856fecb2c8b37b381ca6e603f63a1602dc9301a03689eca,Tests_failed,0.0,False
