idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,test merge,sampled for testing,left_tree_fingerprint,right_tree_fingerprint,left parent test result,left parent test coverage,right parent test result,right parent test coverage,parents pass
75,refs/heads/master,37a902c62bd27609197829f24e719b7b02261abf,80c54e1b3bef921d837cd644903c474490af6c1b,59405b40b037db1bc3001fbffc222cd0530e7c20,,False,26,False,False,fff7c71a5cd6b04b684a7e6dc478d081ddfe1f40fdca56e5e8b93220fda33bb4,f61506f681bd62cdc57c07f72cee94dc1d6b96744aa7d96a2926bed2a7088f09,Tests_failed,0.0,Tests_failed,0.0,False
76,refs/heads/master,aa7c3e8d7b559f36e6f05cd24b7e6c2c3787ce82,eb89499d8c0db774b6d6bd7098edd60a5426343f,1ea9aeaad76dfd025056ae900f27afd5e2ad7e52,,False,108,False,False,,,,,,,
79,refs/heads/master,5c19f04873c413fac64c8287092639c93896edcc,e4429555a3c9e3125efe026b604a2ae4ef2c2472,47f84d6db2ee987cc45f3053db2e70ee251f4a5c,,True,551,False,False,2891294bb847d85212f8a6633f070dbbe7b65c400b2521d767773f7a31adcdc5,f8881cf2604c591cca77c8901d865b2185ee85d62e8c03803f4ce083fcc67862,Tests_failed,0.0,Tests_failed,0.0,False
80,refs/heads/master,47f84d6db2ee987cc45f3053db2e70ee251f4a5c,e874aa423eb2310373baef6821b134989a57d463,f281be61627176ea817402d5be80ad4eaaee7c78,,True,450,False,False,f3e48b042f50d727f837a03c65a326bf1743b40d41ee381e1ad07c022fff82cb,8abdc3a33a5072d1d0c048331747bc784baaa78fae527dc06db42cfc43138289,Tests_failed,0.0,Tests_failed,0.0,False
81,refs/heads/master,f281be61627176ea817402d5be80ad4eaaee7c78,ac338f63537b5f41ccf35450e48c80d9a1ff8742,ae1b395ec63b1333c717fdac150e0860cf0326e0,,False,341,False,False,302c1397c20a4752b0540831b1bfe1e8c62499a1a81e42f6aae130b39d4ee63c,5dd61cc096ce7c82d5aa575b39b577e20bd6ea89371dfc02d450e520d5bd4687,Tests_failed,0.0,Tests_failed,0.0,False
82,refs/heads/master,ae1b395ec63b1333c717fdac150e0860cf0326e0,0ae113528a7507fc773c15304ee69f598ddb6aab,e133ea6cda6996dd70d03335f3ff774b88c19bc9,,False,28,False,False,,,,,,,
85,refs/heads/master,86a75fc9b087142da0873a5d4b59ab545b1dd788,60cb3d1f24fb6c985ed4f1fae5d8d94e7fcfa055,8341832d2788f4c9d96ef4c0c62171d68a3f9e0a,,False,38,False,False,,,,,,,
86,refs/heads/master,60cb3d1f24fb6c985ed4f1fae5d8d94e7fcfa055,3b462740cedf45ee7a705c18528e0e699809897f,e28985aaf1dd53a7496126e52bf2d217662b241f,,True,57,False,False,8ba520f717754383bcec00378cf57c4661de06af92c2c741a239fda39e227373,ee923682195170b9e90619138aa06cfbe0d7f8c835e36319ad48752c70410ae9,Tests_timedout,0.0,Tests_timedout,0.0,False
87,refs/heads/master,f39286afaafab3246c25475dab228e66c2ba19f9,38ae99c4b5406be4e3aa9ca19ab3772d79abf66e,4c453511c9c44ac53146618ee77c9a7dbbe2ea18,,False,9,False,False,,,,,,,
88,refs/heads/master,4c453511c9c44ac53146618ee77c9a7dbbe2ea18,38fcfc67f83014ff7d8d4f0d01c38213a0cfd36a,de5aab209bdbb536f05124523851c3eeaef87c8c,,False,24,False,False,,,,,,,
