,repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl,Validation hash
466,sindicetech/siren,Java,0.922929,4,0,0.254816,1.333333,1.666667,1,67121,0.260862,47,1,1,1,1,d16023c2087fae9e9f247be5eb69f1e5469dede4
467,OpenHFT/Chronicle-Map,Java,0.963265,3,0,0.234997,292.75,2.25,1,34880,0.341263,358,1,1,1,1,9dfb032e339ae1634cc9df45b8d30fe4d2aa6c9f
468,ehcache/sizeof,Java,0.886792,2,0,0.279287,5.3,0.1,1,3396,0.404099,13,1,1,1,1,9e5c90b4fc0947928f0e8f0d9677b6e13535ae1f
469,jprante/log4j2-elasticsearch,Java,0.857143,1,0,0.086031,0.75,0.25,1,1092,0.706667,15,0,0,1,1,fb2324047f7a3ba212ddd39ce567f3505b83c8b1
470,nightscout/android-uploader,Java,0.931373,4,1,0.0895,68.083336,13.166667,1,9178,0.321638,50,1,1,1,1,37d1fe04eca2097c4bbf1e7cdb6580a5d32db1a3
471,fluo-io/fluo,Java,0.989305,2,1,0.223269,27.190475,19.333332,1,18235,0.291453,28,1,1,1,1,4f978874b46fa79aa1df4d2d1d8896c585051718
472,joschi/dropwizard-java8,Java,0.962963,1,1,0.072036,0.0,0.0,1,2374,0.30133,46,0,0,1,1,d3fec0bc677d23ce4af270a3e726d13870a3e962
473,stackforge/monasca-api,Java,0.96875,6,0,0.234185,49.76923,0.0,1,20168,0.34658,50,1,1,1,1,658c68b593a4d83f59143dc6c7df81860d3f57cb
474,IBM-Bluemix/todo-apps,Java,1.0,2,0,0.299218,3.166667,0.333333,1,7107,0.579801,74,1,1,1,1,7fe555c90e16f4733c39c5a1cdf21cef870828f3
475,Hive2Hive/PeerBox,Java,0.971831,2,0,0.176617,122.625,14.375,1,24105,0.354461,20,1,1,1,1,92ec5b3d0eee66599d7c2a350a986205bf9a0be6
476,whois-server-list/public-suffix-list,Java,0.844444,1,1,0.318014,9.833333,0.5,1,1759,0.476282,13,1,1,1,1,452d20c0d6f650d385013c1f09025ad987eb3d06
477,theupswell/appengine-counter,Java,0.9375,1,1,0.312648,6.058824,1.117647,1,4345,0.686785,15,1,1,1,1,60aa86ab28f173ec1642539926b69924b8bda238
478,pietermartin/sqlgraph,Java,0.987179,1,0,0.113553,0.0,0.0,0,5811,0.379354,31,0,0,1,0,4e3f99120b8b579f43f7513b17602cba125f2fdf
479,blundell/tests-app-robolectric-junit,Java,0.6,2,0,0.092179,1.875,0.875,0,379,0.615385,44,0,0,1,1,6af752bc2eaa5875f7618d0a66a6c67feca46c2b
480,AndreasKl/springboot-angular-atmosphere-quickstart,Java,0.428571,1,1,0.128335,10.333333,0.333333,1,697,0.258333,22,1,1,1,1,9a07741ec409276e6c82595969963fae2f6ed8ed
481,google/Refaster,Java,0.891566,1,0,0.306816,55.0,0.0,1,8966,0.383557,51,1,0,1,1,23ef58558c797420cf4b08a3f8cc66003350197e
482,codelibs/elasticsearch-reindexing,Java,1.0,1,0,0.039007,3.75,0.75,1,1121,0.464325,52,1,1,1,1,b5ef85a04f947da37b814da031fff99d6400ae97
483,jmockit/jmockit1,Java,0.987406,1,0,0.206332,40.625,19.0,1,71651,0.471845,122,1,1,1,1,5c6a2dfc6042ebf8d99770a7e9167bf3c26149e8
484,vert-x3/codegen,Java,0.951311,2,0,0.148198,27.666668,2.166667,1,9033,0.29555,13,1,1,1,1,b8aae2309242d8222e70c0455aa52d14369d1b19
485,documents4j/documents4j,Java,1.0,1,1,0.02073,9.588235,0.235294,1,56214,0.284359,30,1,1,1,1,f3ee930230513b0f93d8945c1601f3e34a3ba264
486,ruediste1/btrbck,Java,0.927273,2,0,0.096875,7.8,1.0,1,4230,0.329583,38,1,1,1,1,f9e6831c1fb34f450e43d019976c0bdd6e08379e
487,momchil-atanasov/java-data-front,Java,1.0,1,0,0.399441,0.0,0.0,1,3576,0.373068,11,0,0,1,0,200d520bf409a65e3936f0a7153e6f2dfb1b9fd3
488,mifmif/Generex,Java,1.0,2,1,0.136878,5.375,1.25,1,1801,0.291667,41,1,1,1,1,cda5912b915fe77395d539fcf94ea4b32f9ed6e2
489,pprados/audit-reactive,Java,0.987616,1,0,0.307113,13.25,0.25,1,13857,0.574748,41,1,1,1,1,4abe85e71ca6e7b7d035f07334860ee0b519c8d5
490,google/openrtb-doubleclick,Java,0.892857,1,0,0.221448,20.5,3.375,1,5906,0.2637,78,1,1,1,1,d22dcb6d15b1ae6b0e98a585c5021ee59c85c50d
491,Azure/azure-notificationhubs-samples,Java,0.916667,2,0,0.214168,3.285714,1.285714,1,32423,0.385882,30,1,1,1,1,93161d2c02150b1f17513ebcbca825cb38adc103
492,kairosdb/kairosdb-client,Java,0.987013,2,0,0.260701,3.277778,1.111111,1,4051,0.451206,36,1,1,1,1,ecc845b7e4875b35b735bf18f6460f3e8f2152d3
493,lenskit/lenskit,Java,0.878415,1,1,0.392309,65.881355,1.932203,1,49748,0.266154,382,1,1,1,1,ed85d9529d20dbc475c79a43f20f01d6fb233f8f
494,google/guice,Java,0.926523,8,1,0.144803,14.553398,1.15534,1,115110,0.569904,2914,1,1,1,1,4a8965a8990b27bcb842158da0cceb54df397141
495,mutexkid/android-studio-robolectric-example,Java,0.5,2,1,0.072115,4.5,0.5,0,490,0.54902,122,1,0,1,1,6aedc81ad3cceb4f6256e421de91e181a2d00707
496,remmelt/dropwizard-oauth2-provider,Java,1.0,2,0,0.032397,3.0,0.0,0,456,0.252841,26,1,0,1,0,e46bfb85cf8fb42471caa177042dfb7e8a06b07d
497,OpenGamma/OG-Commons,Java,0.920833,2,0,0.357883,34.117645,4.235294,1,9,0.447311,18,1,1,1,1,a61ab896a6a8677531035e2a59e583ff9c4c5c40
498,kennycason/kumo,Java,0.954545,1,0,0.07467,6.25,1.25,1,2394,0.315485,48,1,1,1,1,a9b89d4f379f1323d0bd5bd364adb7940c389edf
499,kairosdb/kairosdb,Java,0.99661,3,0,0.16346,23.0,4.76,1,32045,0.290646,731,1,1,1,1,ac1d9813cdda26910e916b5afafce8b12a43c7d5
500,jprante/elasticsearch-analysis-reference,Java,0.875,1,0,0.014555,8.0,0.0,1,1427,0.312112,13,1,0,1,1,e0d1ae35b4f5da826b7830621180aa0d9b139307
501,tkrille/dropwizard-environment-config,Java,1.0,1,0,0.3128,6.75,0.625,1,949,0.263889,13,1,1,1,1,d22d11d03cdc60282c50d5b49fa8d64b72d1f362
502,wildfly/wildfly-core,Java,0.988195,10,0,0.256842,137.43103,10.724138,1,394382,0.289059,40,1,1,1,1,e19550d11c32aaec4d0385202c0de24d7151c729
503,dev9com/parallel-webtest,Java,0.945946,3,0,0.182816,10.125,0.03125,1,4419,0.530851,15,1,1,1,1,19cd03cfbb8e0df37492b9317021e640c46c3ee9
504,oyachai/HearthSim,Java,0.989933,3,1,0.160326,110.444443,9.444444,1,59324,0.361926,281,1,1,1,1,54db75b8eeea06282193286f10779f19672deefe
505,naver/volley-extensions,Java,0.995,1,0,0.326207,8.722222,0.111111,1,13248,0.365247,117,1,1,1,1,9defd98eb27413b124d6a8cf01b99235e48835e3
506,SonarSource/sonar-findbugs,Java,0.942308,4,0,0.04137,6.814815,0.111111,0,23056,0.373117,11,1,1,1,1,8e93e5ab17b54ec7c3001ea623d999e1de863b86
507,tiagobento/watertemplate-engine,Java,1.0,1,1,0.005644,94.0,1.0,1,2023,0.478559,35,1,1,1,1,5d979b97b13c0676100378d2f0b8373fbfd80bd2
508,mscharhag/oleaster,Java,1.0,1,1,0.308456,13.125,2.375,1,2140,0.603909,46,1,1,1,1,ce8c6fe2346cd0c0cf5f641417ff85019d1d09ac
509,eeb/dropwizard-mongo,Java,1.0,2,0,0.165075,4.0,0.4,1,712,0.310541,18,1,1,1,1,3e6a78d710cc3b969d79a4397b46708a4460b9aa
510,mscharhag/jmine,Java,1.0,1,0,0.156802,0.0,0.0,1,860,0.621145,46,0,0,1,0,ce8c6fe2346cd0c0cf5f641417ff85019d1d09ac
511,Stratio/stratio-ingestion,Java,0.968421,2,1,0.195656,54.333332,4.0,1,11067,0.353629,109,1,1,1,1,5dbb69cf73d10a91d5a4a0f2ed6e623b6e3ae579
512,Kixeye/chassis,Java,0.946429,2,1,0.224038,23.25,0.5,1,23176,0.388146,57,1,1,1,1,10a1374c870cd4f607d5b0db7c5c6c3ed6b87223
513,medallia/unsafe,Java,0.941176,1,0,0.23364,25.5,0.0,0,1555,0.412918,14,0,0,1,0,bc97b79ea8de2d285e8618f4caf20b6879b4daf9
514,google/domaintest,Java,0.98,2,0,0.228305,8.571429,0.285714,1,3479,0.37931,41,1,1,1,1,a4a2dea7b7c22eb31db91e54927b78b6d38e1d12
515,randi2/randi2,Java,0.947368,10,0,0.130557,34.241756,0.0,1,50438,0.531642,11,1,1,1,1,d6ba350bd855eab6867adc48e40148f23b1b92e0
516,searchisko/elasticsearch-river-sysinfo,Java,1.0,1,1,0.225604,1.821429,0.321429,1,5694,0.563374,11,0,1,1,1,5cae718df9d954efddc718067d210012663c2039
517,typesafely/try,Java,1.0,1,0,0.28192,8.666667,0.166667,1,894,0.465409,39,1,1,1,1,8d6be7795bfdc56431ba6c2c1d5de8da82acc73a
518,jmeter-maven-plugin/jmeter-maven-plugin,Java,0.931034,3,0,0.169811,8.943396,0.584906,1,2874,0.352794,145,1,1,1,1,e948c055db4da30d12ddf77a2748f8ca014b268b
519,tomitribe/tomee-jaxrs-starter-project,Java,1.0,2,0,0.348243,2.125,0.625,1,214,0.442029,21,1,0,1,1,e03c621f662542cf4bf8e7a4df381a3c3f4a6ec4
520,Team254/TrajectoryLib,Java,0.954545,2,0,0.142363,18.0,0.25,0,2979,0.309297,12,1,1,1,1,5847e12f484bee8a1ea765adb0392440b317b2bd
521,xvik/guice-validator,Java,0.911765,1,1,0.176142,6.5,0.0,1,2162,0.428016,20,1,1,1,1,db9a6e9edfccaa9c71e3e93a6f1a7105a33fcca0
522,tiagobento/template-engine,Java,1.0,1,0,0.019397,0.0,0.0,1,529,0.453401,35,0,0,1,0,5d979b97b13c0676100378d2f0b8373fbfd80bd2
523,ethereum/ethereumj,Java,0.993377,2,1,0.125153,162.100006,21.0,1,34677,0.295908,200,1,1,1,1,200882753ee7c1a516d72b22cc5073055aa0c978
524,allanbank/mongodb-async-driver,Java,0.936455,1,1,0.432762,14.465116,0.465116,1,99488,0.644641,17,1,1,1,1,028865c4c3886e2c659e950cc3b9c4ffaa65ce95
525,spring-projects/spring-session,Java,0.872549,1,0,0.128944,20.0,19.444445,1,27216,0.517042,448,1,1,1,1,7d1b01daf6d036c733a6405ae4400ed90039704b
526,typesafely/try-success-failure,Java,1.0,1,0,0.294643,0.0,0.0,1,688,0.517483,39,0,0,1,0,8d6be7795bfdc56431ba6c2c1d5de8da82acc73a
527,google/truth,Java,1.0,2,1,0.258661,15.644444,1.955556,1,8012,0.62742,559,1,1,1,1,c1553f7f8ad1ca8837d8dc07fc83b4fafe36ab26
528,palominolabs/jvm-ssh-groovy-shell,Java,0.96875,1,0,0.104709,6.916667,0.083333,1,1626,0.422705,15,1,1,1,1,505bda7daf859233e4bebaadcaf64b5243afc3fb
529,etiennestuder/gradle-jooq-plugin,Java,0.5,1,0,0.104305,23.666668,2.0,1,924,0.550847,23,1,1,1,1,f6c830653034509bb03b24f87df763b2be1d7b33
530,libgdx/ashley,Java,0.984375,4,0,0.240641,12.2,5.68,1,4443,0.505353,338,1,1,1,1,caac1ff50cb30d67be8469a7fae7579fd549fd07
531,InkApplications/android-preferences,Java,0.947368,1,1,0.383838,8.6,1.0,1,1379,0.62995,45,1,1,1,1,04e9eac6861ece36dfe15e3c91c89d4f64d6223c
532,stephanenicolas/mimic,Java,0.866667,1,1,0.158402,42.0,0.5,1,1941,0.588454,16,1,1,1,1,28991c5a10a87eb1c58d834f5a1e07fe1f731c48
533,vfarcic/JavaBuildTools,Java,0.8,1,0,0.158065,0.0,0.0,0,538,0.666667,14,0,0,1,0,4671f17ffa7f48ded0207560965affb455889129
534,darcy-framework/darcy-ui,Java,0.978571,1,1,0.33862,31.818182,5.909091,1,6720,0.553881,12,1,1,1,1,ae0d89a1ca45f8257ef2764a01e4cfe68f432e33
535,komamitsu/jackson-dataformat-msgpack,Java,1.0,1,1,0.049486,15.5,1.0,1,1533,0.522085,15,1,1,1,1,b812c9ceedb30892969510c2c9fed05cdc17a828
536,spring-platform/spring-platform-config,Java,0.886364,1,0,0.262202,0.0,0.0,1,2680,0.370404,150,0,0,1,1,da14c2debeea5ffe6ca5c617c0f71004d064cf96
537,jenkinsci/workflow-plugin-pipeline-demo,Java,0.0,2,0,0.060976,2.0,0.0,0,125,1.0,11,0,0,1,0,7627356bd5fd6663b469ca1c531e083e1fc1f3e3
538,venmo/cursor-utils,Java,0.818182,2,1,0.106506,5.125,2.375,1,1879,0.390348,194,1,1,1,1,52cf91c4253346632fe70b8d7b7eab8bbcc9b248
539,udacity/ud859,Java,0.914634,1,0,0.156688,12.0,1.0,1,11976,0.355715,116,1,1,1,1,aa155791fd425d29ba7fb04548e47db8c8621f8f
540,AdamBien/javaee-bce-archetype,Java,0.714286,1,0,0.110985,10.0,0.666667,1,790,0.487705,19,1,1,1,1,c20159bb5028f1955b31b834bfceafc55553ab51
541,yammer/breakerbox,Java,0.97561,2,1,0.040446,13.736842,0.105263,1,7505,0.268707,42,1,1,1,1,ac6960bf28509fb04198409bdae9b97c0e29e260
542,structurizr/java,Java,0.92623,1,0,0.082905,14.111111,1.0,1,4725,0.314202,153,1,1,1,1,054e58f0480a5036e504daf5ccd638e643927335
543,kwon37xi/hibernate4-memcached,Java,0.95098,1,0,0.180526,6.555556,2.111111,1,5615,0.441514,15,1,1,1,1,e0b2839ab257b2602344f54ca53c564044f3585d
544,matlux/jvm-breakglass,Java,0.964286,1,1,0.036807,6.16,0.84,1,2289,0.298597,71,1,1,1,1,e6d107ddd8a686bc27ed46dd803c53b16d98f389
545,githublemming/CloudTrailViewer,Java,0.973333,1,0,0.316459,8.333333,0.0,1,5860,0.28923,16,1,0,1,1,11aed9194162cd8cdc6a204c7f9d24caf352280d
546,manuzhang/storm-benchmark,Java,0.98913,2,1,0.290605,9.181818,0.181818,1,4796,0.359311,11,1,1,1,1,1c525761ace21d610b9be8926353ed20e14791ba
547,Sefford/brender,Java,0.947368,1,0,0.38081,10.0,0.0,1,947,0.619739,16,1,0,1,1,f13c9fce2c2a67e9edf09e6c58ce911f96143ce1
548,Sotera/distributed-graph-analytics,Java,0.923077,2,0,0.313743,33.299999,5.4,1,8030,0.399141,36,1,1,1,1,c22aaf4ba56a50276607939f8fad4df5469f29ca
549,ebay/oink,Java,0.878049,2,1,0.20746,3.0,0.2,1,2625,0.492644,21,1,1,1,1,9f3e05e1a7c4d35561b297564113a853b09cee86
550,lestard/advanced-bindings,Java,0.166667,1,1,0.475922,7.375,0.25,1,2174,0.516868,11,1,1,1,1,fadbc48ecedccc4c916e07b2631d878c9ef520b2
551,ggasoftware/gga-selenium-framework,Java,0.907692,2,0,0.2694,3.0,0.0,1,9883,0.417056,11,1,0,1,1,168205ba91004976a90a7eda93d88e70617e45aa
552,vladmihalcea/hibernate-master-class,Java,0.9875,1,0,0.056239,12.111111,0.111111,1,7382,0.896287,64,1,1,1,1,11d1cc18ba8afc1374b971d9fa52b4365856ba45
553,kvandermast/my-robolectric-app,Java,0.857143,1,0,0.15942,1.857143,0.142857,0,856,0.561446,47,0,0,1,0,d81f74d0442dc0e7a07e617e72582fc27424ec46
554,jimmoores/quandl4j,Java,0.924528,1,1,0.012998,10.5,0.75,1,117011,0.395952,21,1,1,1,1,8fd70fcd624a836aebc8ab218fe269cc17929d33
555,spotify/helios,Java,0.989276,5,1,0.245323,180.888885,52.111111,1,33749,0.370839,1224,1,1,1,1,0b2855955dc6f3268e772252d84861082a516b6e
556,ZK-1931/javazab,Java,0.956522,3,1,0.299329,103.0,57.0,1,8301,0.419136,37,1,1,1,1,2a8893bcc1a125f3aebdaddee80ad49c9761bba1
557,getsentry/raven-java,Java,0.974138,1,1,0.158382,37.0,1.297297,1,10501,0.522214,166,1,1,1,1,7c33bc1f1ab8a05431bab8cc595d14cde070d780
558,frankiesardo/auto-parcel,Java,0.923077,1,1,0.174871,3.090909,1.454545,1,6674,0.496306,1010,1,1,1,1,eacd2d42a114655b62607f2782103d464a60930c
559,frode-carlsen/cron,Java,1.0,1,0,0.159714,0.0,0.0,1,713,0.550613,12,0,0,1,0,1c4d68ec5a09fe24ca9bb4f7f3a15b8caabe8d52
560,Kixeye/janus,Java,0.977778,4,1,0.361213,6.857143,0.857143,1,3646,0.341194,12,1,1,1,1,a8a8fc5e6e1306239d42b92fdc34fc889cba19c2
561,red5/red5-websocket,Java,0.96,1,0,0.323662,3.625,0.125,1,2616,0.315467,18,1,1,1,1,24b53f2f3875624fb01f0a2604f4117583aeab40
562,l3nz/ObjectiveSync,Java,0.862069,1,0,0.328556,3.0,0.222222,1,1405,0.334154,61,1,1,1,1,791207d2f1bc156b17b67e3e20114862f0a71d4b
563,timtiemens/secretshare,Java,0.974359,2,0,0.263403,1.775862,0.017241,1,7391,0.301447,12,1,0,1,1,b1dc97b29560ab781944d1b8167dfba28c574646
564,cbeams-archive/spring-3.1-profiles-xml,Java,0.888889,1,0,0.234,0.0,0.0,1,851,0.337104,14,0,0,1,1,3d2b25dae7e649716ab8473f45a11cc886f614ec
565,levelup/Android-oEmbed,Java,0.966667,1,0,0.080499,9.0,0.0,1,935,0.294509,12,1,0,1,1,56889cb68ca0ec466e224e0ca010939eee714729
566,rschmitt/dynamic-object,Java,0.965517,1,0,0.058783,33.333332,0.0,1,4278,0.499091,36,1,0,1,1,1d9be2dc4dd8c9ea525055bc47db9d07ed09d6ff
567,jayway/powermock,Java,0.984971,3,1,0.364008,12.463415,0.207317,1,45956,0.495498,435,1,1,1,1,a0be5c4bbeb04f13a6aec2653c1f5663cece1316
568,rwinch/spring-security-test-blog,Java,1.0,1,0,0.172232,0.0,0.0,1,9867,0.716539,12,0,0,1,0,f46ea1da93b75166e5c3b96b9573452f3f257023
569,apache/incubator-brooklyn,Java,0.995504,8,0,0.228312,233.911118,13.444444,1,358806,0.34262,143,1,1,1,1,337a5d22d5e9c98cc96ea1085383cbed1ee0b741
570,purplefox/codegen-mvel,Java,0.982143,1,0,0.139087,16.0,0.0,1,2114,0.408954,13,1,0,1,1,b8aae2309242d8222e70c0455aa52d14369d1b19
571,aditzel/spring-security-csrf-filter,Java,1.0,1,1,0.156164,0.0,0.0,1,337,0.729412,19,0,0,1,1,341a2104301c980db7d8075f589044b48830c29b
572,chrisjr/loom,Java,1.0,1,0,0.217825,86.666664,0.0,1,7205,0.428642,15,1,0,1,1,e2f4cf82f1b98108d39801e512db91318aada320
573,pjagielski/spring-boot-swagger,Java,0.75,2,1,0.060209,2.4,0.6,1,467,0.397661,18,1,1,1,1,55cdd95f948df91a0ebfbf0edc8d3259be189243
574,aerospike/aerospike-loader,Java,0.909091,2,0,0.187267,10.875,0.125,0,2599,0.278312,17,1,1,1,1,a1f3799616bcc2151f7000d10f6e0911941843d6
575,yinglovezhuzhu/bitmaploader,Java,1.0,1,0,0.443361,8.875,0.5,1,2401,0.275968,16,1,1,1,1,029b1228b4698df97ee0234738abd340ba3718b8
576,nguyenq/tess4j,Java,0.96,2,0,0.467695,18.700001,1.4,1,4016,0.475855,65,1,1,1,1,4dde0214a70c6bc5172329e95d920d1fdfc91496
577,tuenti/SmsRadar,Java,0.882353,3,1,0.267577,2.571429,1.0,1,1143,0.436965,236,1,1,1,1,598553c69c474634a1d4041a39f015f0b4c33a6d
578,uwolfer/gerrit-rest-java-client,Java,0.939394,1,1,0.316683,16.428572,0.52381,1,5494,0.311542,28,1,1,1,1,d4adcbc2303f6af91a5bbc6f9b28884d63155396
579,flipkart-incubator/foxtrot,Java,0.963855,2,1,0.108762,33.0,1.5,1,48299,0.324755,52,1,1,1,1,2f062e492f19056eddd6a90db9ab84b4eafc8474
580,eviltester/javaForTestersCode,Java,0.672269,1,0,0.055731,0.555556,0.0,0,5409,0.918725,20,0,0,1,0,753397934797304c364f495cf0712f79277928de
581,GoogleCloudPlatform/bigdata-interop,Java,0.982759,3,0,0.271838,10.888889,0.444444,1,27245,0.562493,29,1,1,1,1,f8210db8403c0389a6f6aad842c3f50cd8f2e86f
582,remibantos/jeeshop,Java,0.852632,3,1,0.026822,19.9,3.6,1,19892,0.302165,15,1,1,1,1,c50b333f1c3be3d936cb67d1cfa5b36aaef01c19
583,nhl/link-rest,Java,1.0,2,0,0.102757,28.6,8.6,1,14452,0.369332,22,1,1,1,1,286beda4b088fb9e8096b9c23c6493e66a86711b
584,Azure/azure-storage-android,Java,0.898496,2,0,0.442978,2.0,1.285714,1,38063,0.363832,31,1,1,1,1,2c643c37c6b8c9081058add284c601a2393afc93
585,jvirtanen/nassau,Java,0.921569,1,0,0.20966,7.3,1.7,1,2175,0.337967,14,1,1,1,1,1df554e73512573a24ad0bd119269ca9f917fc3f
586,reines/dropwizard-debpkg-maven-plugin,Java,0.886364,1,1,0.008344,11.444444,1.777778,1,2514,0.455512,40,1,1,1,1,7cc70dbaaac57cb5bdc1268c860eccf8de5099a5
587,apache/olingo-odata4,Java,0.982982,6,0,0.262819,60.625,0.25,1,119212,0.294927,28,1,1,1,1,e39c1deb58e43a0c726b97fa969d00af3972becd
588,apache/olingo-odata2,Java,0.962319,5,0,0.238522,32.0,0.2,1,122663,0.457163,14,1,1,1,1,bed23e77f9735c0094b5784aa0d7e3ee972018be
589,quickfix-j/quickfixj,Java,1.0,3,0,0.076034,8.884298,0.14876,1,119873,0.377012,158,1,1,1,1,dce91e62c7525b84448b974b796a1fac436015ae
590,nurkiewicz/java8-workshop,Java,0.921348,1,0,0.049404,8.375,0.25,1,10465,0.688908,22,1,1,1,1,6e52e762f7ade6f3788d130950a3d5d68785a184
591,EmirWeb/liason,Java,0.931818,1,1,0.050218,11.0,0.5,1,5167,0.257875,11,1,1,1,1,58fb34569c7bb699eeba530b35a8383f90b368c3
592,NFSdb/nfsdb,Java,0.988258,1,1,0.200465,32.454544,2.727273,1,36803,0.299682,82,1,1,1,1,4f7ff90f968460f95764334a9ddb46157e4ee861
593,davidmoten/rxjava-file,Java,0.833333,1,1,0.227628,11.7,0.4,1,982,0.394118,29,1,1,1,1,515b781521272e779e08988bb3006c6dc454ca39
594,metamolecular/mx,Java,0.977011,1,0,0.206091,14.722222,0.0,1,10401,0.490094,11,1,0,1,1,d9829c0fba895a604cc5ff9e471eff8b6263165c
595,jmulieri/front-end-alignment,Java,1.0,1,0,0.0,0.0,0.0,1,245,0.367021,22,0,0,1,0,22522b4592808485c0ea074d6a3edccd373a883d
596,JanTvrdik/intellij-latte,Java,0.9375,1,0,0.091187,0.0,0.0,1,1502,0.293447,23,0,0,1,1,577334177491ace805d489364f600a88c733fc26
597,ToastShaman/dropwizard-auth-jwt,Java,1.0,1,1,0.2,7.888889,0.666667,1,1526,0.322289,47,1,1,1,1,17850c4ad75d1209b1218d140dcef399f4061988
598,AdamBien/javaee-bce-pom,Java,0.714286,1,0,0.098151,5.5,0.5,1,637,0.487705,15,1,1,1,1,6d57c3fd7ecb3094ff054ee531b03728a0396f8f
599,dsyer/spring-boot-mustache,Java,1.0,1,0,0.20933,0.875,0.25,1,710,0.464164,11,0,0,1,1,7abbd6139678eed630872525816debce0d42f1cf
600,seagate/kinetic-java,Java,0.979042,2,0,0.288253,22.272726,1.363636,1,81884,0.29535,19,1,1,1,1,bb04c36537845e299788c0e4f4f12a0514fd9955
601,stuartgunter/dropwizard-cassandra,Java,1.0,1,1,0.31136,15.7,1.0,1,1817,0.411955,39,1,1,1,1,3f3ac96ec64bd26c14dc3111f343f87054621fe2
602,AlchemyAPI/alchemyapi_java,Java,1.0,3,0,0.050574,3.0,1.25,1,5340,0.350072,21,1,1,1,1,f2cf49757907f3c180bcb9586c8a026412936a08
603,trishagee/mongodb-getting-started,Java,0.722222,1,0,0.140179,6.857143,0.0,0,980,0.880155,12,0,0,1,0,4ac49327a26fed8b6e60c2222aed40df43672b89
604,Stratio/stratio-deep,Java,0.98895,2,0,0.307185,79.714287,1.142857,1,18133,0.349993,163,1,1,1,1,b9621c9b7a6d996f80fce1d073d696a157bed095
605,graphaware/neo4j-algorithms,Java,0.967742,1,1,0.2606,8.3,0.0,1,3881,0.408206,23,1,0,1,1,2d4ea33e0a3a3a9d1e0f697777fc0133bfbf9718
606,graphaware/neo4j-timetree,Java,1.0,1,1,0.210145,18.6,1.9,1,4302,0.650842,68,1,1,1,1,83e699f95aa8f9480e06f021b029a02fce2645fc
607,Stratio/stratio-meta,Java,0.911243,6,0,0.362924,183.0,10.571429,1,23006,0.265787,109,1,1,1,1,7991badb884a623eeb066bd890f136bdb1ed2eb5
608,Cascading/cascading-hive,Java,0.852941,1,0,0.279867,5.833333,1.333333,1,3374,0.31976,20,1,1,1,1,d2edb4a666e01bba9accc34712f541a191b06857
609,cloudfoundry-community/spring-boot-cf-service-broker,Java,0.957447,2,0,0.109382,6.4,1.9,1,2204,0.38708,33,1,1,1,1,e724fba49bc6c1c1861732976e287769b3861c4e
610,nidi3/raml-tester,Java,1.0,2,1,0.229028,13.5,2.0,1,6540,0.344234,39,1,1,1,1,6241a5f46a05cc0988be2ce3825495fa2cf95006
611,salyh/javamail-mock2,Java,0.952381,1,1,0.192548,12.0,0.0,1,3309,0.253521,17,1,0,1,1,73266c1d4d3606baac542933e7512633a39de1c4
612,stevenalexander/dropwizard-security,Java,1.0,1,0,0.063366,9.0,0.0,0,657,0.5054,16,0,0,1,0,b6599055bf78de172bcade1ec282b6472c5a75f6
613,julman99/futuristic,Java,0.97619,1,0,0.108503,15.5,0.0,1,2614,0.427109,13,1,0,1,1,d4fdf5146ba2b3df21440485ba14b1e640df58fc
614,querydsl/apt-maven-plugin,Java,0.833333,1,1,0.143382,1.558824,0.235294,1,959,0.353887,23,0,0,1,1,b60bb8eafbda1e011bc9fcaefc0bd2860e6d161e
615,sualeh/magnetictrackparser,Java,1.0,1,0,0.29864,4.714286,0.142857,1,1269,0.332039,16,1,1,1,1,035a1c9b4cf77a945b1c4e7f36302e7c8333373c
616,TEAMMATES/repo,Java,0.994236,8,0,0.034549,569.5,363.399994,1,396801,0.423839,64,1,1,1,1,de7b1f9a5acd6143c4a99f99ae6d5ffbae99b79b
617,Monits/volley-requests,Java,0.962963,2,1,0.272904,7.230769,0.0,1,1775,0.540151,12,1,1,1,1,02e203ea31ddda4f9e2c8860c6541b6606b51426
618,google/closure-templates,Java,0.984848,6,0,0.39022,4.384615,0.538462,1,74266,0.332997,214,1,1,1,1,73e5ce88b70d18179811bb909f9a39e6de9a6aff
619,neo4j-contrib/cypher-dsl,Java,0.981818,6,0,0.373306,3.184211,0.526316,1,6460,0.383562,44,1,1,1,1,14ca0133ebb729c80fb168ee846c4ba4d567d31c
620,teamed/requs,Java,0.73,1,1,0.362624,24.200001,7.6,1,9658,0.364971,15,1,1,1,1,e7fccea3b940e18d9072dff6ddca558316bd1724
621,cegeka/batchers,Java,0.961326,5,0,0.195711,71.0,0.2,1,12107,0.423348,11,1,1,1,1,1f3a32dd49ae2aa920dddb7880e90926f0460fb1
622,panterch/ch.panter.projectzero,Java,0.8,0,0,0.460385,0.0,0.0,0,270,0.822086,64,0,0,1,0,4877c709d8665549ae3b4420d66cf0b5960d5ae9
623,querydsl/querydsl,Java,0.963806,2,1,0.238643,58.57143,23.214287,1,118904,0.373431,769,1,1,1,1,cd608f04ed7534b1b62a78a28beb141071d149b6
