idx,repository,head hash,head tree fingerprint,head test result
14114,soabase/exhibitor,d345d2d45c75b0694b562b6c346f8594f3a5d166,23054c38b035cabba27245f420c94f715a20581013760c7045ecb5112443d9c2,Tests_passed
14129,socketio/socket.io-client-java,ad3a930e346ad54acd8e895b01418f7b936776dd,e62048974128400343cf5644101f37d360ef2716fef00d25c686fca8a061489e,Tests_passed
14144,sofastack/sofa-bolt,829be5568bb06e9c599f86b06f3b4dc1d282db97,e15d90409e4bdd4367a1c92d027c26a7f0b8d79211fbd45efed68053c61198b3,Tests_passed
14146,sofastack/sofa-jarslink,c84f885fda4a1d53345ae37606214e0805b002d8,5f013bcd78b52f3e8eb5526acaa06385486aa930a91b8db499a691ccd5f0f58e,Tests_passed
14159,sohutv/cachecloud,18217954a1e5fd0fdd1db7126d500518b0140761,c115dada9bddbdfea375069b313e14f9f6bde7da56737f931ad022011657ce91,Tests_passed
14285,spotify/apollo,a03105ee1f98f8c5878f4e3c4d03c8732c6384bd,a36b1e5acfbd8a0f9c0ff1c9105e0a0a99a03c8bf93b8bbe2b37d642939b03f1,Tests_passed
14289,spotify/dockerfile-maven,986f960cb82085d2f666acd6c2682672d47f5bb0,a567d3f8eb5c6043219c4e2421194eba0fd182e7f8797677cdb976b28fc53d57,Tests_passed
14308,spring-projects/spring-data-elasticsearch,ddd795a3d31b491fe21c171c72a18933c9842309,ceb41a9ae0fd253fa45e7ada1b0c466506525937cc307629f64e63cdf24c7f20,Tests_passed
14351,square/javapoet,d682f2013751d25725349d79b449870d0e77354c,2bda792b152a5ee044889a9b719472eb2bce40e2bc09dcaa045a552a76e40aef,Tests_passed
14553,stylefeng/guns,9597d2af9e972a8941c0efd8012537b2aec25ff3,589223c01cefe16aa07c89c269e67ef4e751b71a4555d4c0af4d083bbe0d0439,Tests_passed
14663,swagger-api/swagger-codegen,a41f458ef96f74a630b81657b0130cb3f4519acf,a9947442939a5ad0a5a208e43534d28701433e5670631756d286f32198b3530a,Tests_passed
14795,szerhusenbc/jwt-spring-security-demo,dcf718c67c0d403f78ee390c23715c3f5e6f5f4c,fde53e37c0eea56b14a94826ae94d9eab9f11549c6ba64c9789653a9a26036ab,Tests_passed
15108,thealgorithms/java,c527dff92da2046b850ffe9a3b8d0c2aae15d588,16754416e752adf672532100fcdf0b44a183f5ceb4fe22f05f4ebdbc648b2d5e,Tests_passed
15177,thinkgem/jeesite,857cc884991184ae3e4c283f9d8bcea272382415,82fa69ecf0c3473e8359a3dc5cddc6e57319a8512dd0852b8badb495da451600,Tests_passed
15244,thx/rap,ef873adad4682671fc1ceab725e005698de48c3b,f167a6859c83435e471ac31efedff7f3e9d461704673807ffbfdc2ca2ff031e0,Tests_passed
15326,tipsy/javalin,c32b71646ac90bd09ba345fccd5be65204426804,4c7c91b719831675f7d0276a30d5331a6694ab1816c4a03d9115c4e2ddb5d88c,Tests_passed
15481,torodb/stampede,bd8fb8bb3d45e8e20ebe255e82a2267fa9c87561,d0fb854dac275853355775c0a6d77ab1392f7e21f0cb227147dd816e4a3346e8,Tests_passed
15960,vdurmont/emoji-java,9a90624aa0a50f1785d6a10e1fcb2a296ce468f7,45f2c33ea3fa523ccf994b70a29d02c3e0cdb39745ac982a55890081d88f2600,Tests_passed
15977,verbalexpressions/javaverbalexpressions,af9201eab97599e78a036a02c6e06c9ffdbd759f,4f3f706fa3e8c81e35de50bcd20863fb43dc6231a74728b0d1ed6e8c99db8757,Tests_passed
16054,vipshop/saturn,d86921ccbb2ef7f261facc6e2b5c788099762eba,7f893d7db4a965145fb86cac7dd70585fef2a3a09de3ed817925b34b9383f5a4,Tests_passed
16212,wakaleo/game-of-life,c24bb1ae41bfd5980ce9f0aa8b9a636b920c71fd,69c52295bd1fb976ed55b8e678834e44426dd30c2a874fc70f10082b717a8707,Tests_passed
16472,wildfirechat/server,08b813cd9f7016ad879aae1b10da54d53495cab1,f363f713e7b7a6f53aa49720690e3c5168f67a3d618315ab4a3d9d5b1057f709,Tests_passed
16527,wizzercn/nutzwk,11c712a07b11ffd274d92ba629e6b970a2e35a42,016045e7d943ee490d9dcbea7e3ae544befed8a3fab83d6f228e6a1b05a6323a,Tests_passed
16749,xtuhcy/gecco,a0c18d230e850adc915a6935db01202256938a4d,0932668a94e8b10912df4a84094647609c7dea072c72f95d3ba425aed50cd7a2,Tests_passed
