idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing
39,refs/heads/main,0c3ce1eb7405c3d5268b00faf05618185b29d334,ddae53af759c58d93ca3d0950bc50390eb04de91,6cf1988884c11056256202be351ca0cd04d89c1e,,False,False,True,2,4,False,,,,,,False
41,refs/heads/main,2da38e6a89b7825107bbf8868b3b5a5b244f040f,b254f7b0c74af207282908d357ae2b458962c0eb,26123b20d1ca7dbddb13ac0eea6f0e436811abcc,,False,False,True,3,40,False,,,,,,False
45,refs/heads/main,ae513af720f0c4043f1fb07fbe9766ed7ab92fe1,3a2a4ab2682121f16afc49cbff51f532c4e945b7,64cb0def5f1dd8ca7cc158d3a3934b37b8056477,,False,False,True,2,4,False,,,,,,False
47,refs/heads/main,429523b091b2f486df38d427865ec0a3546fa909,256a9d8c1451895a60b1b421f0b9394881d85c1c,2f8c6c40270d6a4fc9b69faffca2c815b1d4f33a,,False,True,True,8,140,False,,,,,,False
49,refs/heads/main,8176f755fb465520ca59423e57a277016b69b71d,061e7adfedc4319e8e42d3caba98a07804a1e29c,38e92cb2d8a00ceca7b30d23adf4dee2588239b6,,False,False,True,5,53,False,,,,,,False
51,refs/heads/main,9627e29dbea38b9df9444b5de308a84f7e7f8321,858c7ccc52f0c3dea0d110c79f440d3d8f24526c,f0fabe0bd4d458b0e9f5acc90ee246a4d7050567,,False,False,True,3,4,False,,,,,,False
54,refs/heads/main,9e91e8b913149ec07a71cef26cae2a5bc590e8e4,31f455f32063e365c04ec66a00e6331d50b2f10b,19371808d64f3b3f47408a6cebbbbbb6e40f9fad,,False,False,True,2,2,False,,,,,,False
57,refs/heads/main,f35a940c060729c051e421ee9513739c0b548c67,d2f5785e064dea495f8bcd58fb74ef93134fe00e,390f0d177527d2c0f58ffe84e94805b281a58c6e,,False,True,True,19,319,False,,,,,,False
59,refs/heads/main,e41758fe5e940800484a26fa973a2840c702ef61,aac5fe0df3f9876a5cf3d1777b71fdf7155b7628,d71b17d1cc5ea085de286be02ca468a63d8d1a5d,,False,False,True,3,4,False,,,,,,False
60,refs/heads/main,aac5fe0df3f9876a5cf3d1777b71fdf7155b7628,e4271ee97ee530d7cdb9839d4a14339528425db1,168b0f51d0d098aef1050ac2476fb1555f2d82eb,,False,False,True,3,6,False,,,,,,False
