idx,repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl,head hash,head tree fingerprint,head test result
340,yannrichet/jmathplot,Java,1.0,2,0,0.23296,0.641791,0.0,1,14819,0.006051,24,1,0,1,1,2938687e601c7f6782e8200ea991c6f160c13917,cd0101673951f9d4d611960bdd9b821a76600de04ffdff2ba5df7bdd93f3b54e,Tests_passed
343,zbra-solutions/android-linq,Java,1.0,2,0,0.310692,0.0,0.0,1,758,0.0,41,0,0,1,0,774a76d088a02d0b6a737fd250f0a9041a4e9204,bfb1b89de51c42900090a4413ea7d91f576e47a3f5d3af34b8b94372849a207d,Tests_passed
359,Ekryd/sortpom,Java,1.0,0,1,0.056057,0.0,0.0,0,18304,0.519176,28,0,0,1,1,01fef94ee8240be42eb72f22bb7b7c94a5bf8209,9d39ec748e72d78905da9c1fd0893ca508c5daf68162da97d4a5f91fd8ccbda8,Tests_passed
364,asciidocfx/MarkdownToAsciidoc,Java,1.0,1,0,0.139316,0.0,0.0,1,1007,0.0,6,0,0,1,1,0c31a25cd3d9cbe630efb2adb37f5766ec9a9b97,352e283d21ce1cb918f320a9d33d244e5e0b838e112788a2e8b775f6d62540e3,Tests_passed
375,pdudits/soundlibs,Java,0.989051,1,0,0.235235,0.0,0.0,1,124994,0.076126,6,0,0,1,0,ea394a88c9a8db0367265075087d4a57c47a4d2d,1f75c9778ad1d8adf5c6715ac91ed9140d1efd1aa2d76d57942d489c97335a06,Tests_passed
378,semanticvectors/semanticvectors,Java,0.934783,2,0,0.339117,8.0,0.133333,1,14104,0.147528,70,1,1,1,1,f585f0a66973b63cc6c0952e3fa9610825f285a3,79c857eb77517d5c7ec7af8fb4210fa4cbfa338a2d73216212d52c51f66829bb,Tests_passed
386,maurotalevi/xstream,Java,0.993958,2,0,0.229058,16.132353,0.0,1,55523,0.176976,80,1,0,1,1,d03f6987b793fac71ab89a31d7aa633c366c5289,ca605c330f0a2b9841fe82fac16375daa0a2479eadc01d3e9a2e9a126e6dded9,Tests_passed
392,fpw/kianxali,Java,0.846154,1,0,0.091715,0.0,0.0,0,23357,0.06466,6,0,0,1,0,982148774dda1e71a255e793976d50b8dd833aff,14a2d28277ffe2ffffa47ce350de554e4758acca457721675e11addc18486e64,Tests_passed
399,JavadocMD/simplelatlng,Java,0.947368,1,0,0.308875,0.0,0.0,1,2192,0.533884,20,0,0,1,1,84351103de1f54439e4e8267ca0c16d2c8f32d29,a0aacb6d0a2e07ad59a9f21a70ae97b116f316f92182364fcd6544b6df54d29c,Tests_passed
401,randombits-org/gwt-dispatch,Java,1.0,1,0,0.293075,0.0,0.0,0,2124,0.08041,8,0,0,1,0,7362b8ac6290e6482a7d360d483a7e8d2f8a3876,96865beaa969a6a08045fd35ce034e212b32b75ca728bf8a7a861d3dbd1754ff,Tests_passed
