idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,left parent test result,left_tree_fingerprint,non_java_involved,num_diff_files,num_diff_lines,parents pass,right parent test result,right_tree_fingerprint,test merge,sampled for testing
54,refs/heads/master,e96aa02c5dcee2096d5f974f88bae746c5f70ddf,566c3640b7fee182839a0580012e6130121e7928,88aec0d1f2bc778ec2296bca8724ec761098f8f1,,True,True,Git_checkout_failed,,True,8,116,False,Git_checkout_failed,,False,False
55,refs/heads/master,8bdbbff4bf69544004dca672ef9b469fd1aed504,f8a8472d4628dc4f4cead6da7118948fbcce68c4,98d3c16c3ebaea16e109b39db257572ef17ca715,,False,True,,,True,48,412,,,,False,False
56,refs/heads/master,9df81cde83bfcdca2df6675dfb1846c13dcd60b8,f8e8334d2c867d996f70b36deba0df8f3de0dcb0,0ae8296b8c16e0f3676cc117c37fac2a46e8f86c,,False,True,,,True,302,3173,,,,False,False
57,refs/heads/master,7f914dae39b2ce9f44bc64e405efbaee78cdd196,55835d528ec5d669bf7e240cf80f151986f5f3f5,89e522fbb83cc0674213746d52f21368b081a891,,False,False,,,True,65,96,,,,False,False
58,refs/heads/master,89e522fbb83cc0674213746d52f21368b081a891,c1da438b1de0f39373f6e4654fc9a71f864c10db,d3c17e439042e603d2f25f04032e7140a6472848,,True,True,Tests_failed,48c223906c74a1b22fe82150b6d287d1e13e571dae4163d3069ae891ced31e69,True,251,2540,False,Tests_failed,a4802b85dc2bc6dae4f88792400b8d3d0a5e7a286426146a4d146d5954ae307e,False,False
59,refs/heads/master,c1da438b1de0f39373f6e4654fc9a71f864c10db,57291e50fa58858bdc6a596e2843c48ea6690633,a36b520f1ffdaa72a7de14b08fe9886d0743610a,,False,False,,,True,199,384,,,,False,False
60,refs/heads/master,57291e50fa58858bdc6a596e2843c48ea6690633,2288e88dec3f40daf0a3c386ad253c47cfa14af8,7c477fc55269a44e6e342afe430dd34aaa8f846a,,False,True,,,True,245,2473,,,,False,False
61,refs/heads/master,0cab89c18ed070b4bfed3a338454f897862aff58,fad401819fa4a6c67f7401b75d37efcc9cc44183,f4ffbd3584cc6a93bdd32f64377ab4d70a044f8f,,True,True,Tests_failed,544a271dc8ebef2d1dbeb6cf1c5cbde624eb6aa910ca3c2eb221c7969e4070ee,True,73,1166,False,Tests_failed,426ff1cd643e089bc5735c50ff49341ec11d4df6470b3b4049b6b872bb7d8da8,False,False
62,refs/heads/master,a8fe157da5e8f62fa0dcac3bcfc74c43925b0375,82ea8108beabd422bb897a232e3166186ec8e260,675e8b1455cff37b97d27fe217b44b0a94002bc5,,False,False,,,True,8,79,,,,False,False
63,refs/heads/master,81e3782d99e4a3aca1e4967b7d8540ddde27ad94,5ecf699853c05d71ff6a6c48bee1fc4140ba426b,404b36162e2b714104738aa98a7cdafd5d00df13,,False,True,,,True,17,269,,,,False,False
