idx,branch_name,merge,left,right,notes,union_diff_files,num_intersecting_files,num_diff_lines,num_diff_hunks,diff contains java file,imports_involved,non_java_involved,num_diff_files,test merge,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing
53,refs/heads/master,27ad84de4be72e8242caa020c2a54c4b69393fd6,cf8e749f002e63c2061527cb24a90d319ea14853,77f53e2733b51c38737b1f2c1b209eac9d2bf708,,3,0,53,3,False,False,True,3,False,,,,,,False
54,refs/heads/master,cf8e749f002e63c2061527cb24a90d319ea14853,cf047ce4021cfc062f4e1dfe7e53ecadb1745d76,6d7f223e8538242486f034cc2aff9dd4f0b9bde7,,2,0,57,10,False,True,True,2,False,,,,,,False
55,refs/heads/master,cf047ce4021cfc062f4e1dfe7e53ecadb1745d76,2facc0b7ca86e236c0de7ddf97a41dbe98ec1cbc,4d8cc39a658d52211b156b464f96c697e1c16c5b,,16,0,947,32,False,True,True,16,False,,,,,,False
60,refs/heads/master,75f3706b3266228ca5772ed16e5f91d65e2dc851,648df8a0c912992af123c257bc95cdcb8e5050ca,546a8131d139bd6e5dea64fe1de6001fb1e09ffe,,2,2,5,2,False,False,True,2,False,,,,,,False
66,refs/heads/master,178e60630c56fd9fd56f477b19f63f7eebaa49a8,23d95957c21c4d53f8f7420a4a56c11ce46f09fb,8f848b35a50c7c0c9f616733cc7e827c233ed663,,10,0,179,16,False,True,True,10,False,,,,,,False
67,refs/heads/master,23d95957c21c4d53f8f7420a4a56c11ce46f09fb,64a0c8a34c75bced16d17898a57ea1ce55fd39ef,120aa49a770509864424cca7a4397f8bff01c8e7,,2,0,4,3,False,False,True,2,False,,,,,,False
72,refs/heads/master,92e91d876d07b0afd04f516ef46ba0b1eda40ff4,2cc321733878822aac885a10dbfa07dbe84a1e67,92b81b137925e59cd35230a1fd66f42a14cbed30,,3,0,46,3,False,False,True,3,False,,,,,,False
74,refs/heads/master,1a23c292196586480e1666979c3f2ba61f82940d,d04efb1c0920e954d556c2b301e255532924fe70,ae30bedfa04197887a1c4ef19f6b5767e8aa129f,,2,0,35,6,False,False,True,2,False,,,,,,False
75,refs/heads/master,d04efb1c0920e954d556c2b301e255532924fe70,7b08dcd8ae9de6d2c171ea665dd162ec9a450aa6,6e849a4b013e092d93d15f1b49cbee827a93e2ec,,13,0,173,23,False,True,True,13,False,,,,,,False
76,refs/heads/master,7b08dcd8ae9de6d2c171ea665dd162ec9a450aa6,e7368a7e328d73e43ed21d6afba5f18b9a15c407,17071d0007213a0a761b9060739250d0d4338b9d,,2,0,2,1,False,False,True,2,False,,,,,,False
77,refs/heads/master,e7368a7e328d73e43ed21d6afba5f18b9a15c407,3de1a726212048dae9f0cbe88ef389f877c3f693,2077da82776a95d5d849544097c2617cbd67addc,,2,0,23,11,False,False,True,2,False,,,,,,False
78,refs/heads/master,3de1a726212048dae9f0cbe88ef389f877c3f693,f377bbf7c5be44c89441160f7b185507b1328eb1,1bd66eef6494f126c5ad39b8c603e158ebffc3eb,,2,0,2,1,False,False,True,2,False,,,,,,False
82,refs/heads/master,661988b230fc03327d42009ceed193e6955e663b,c3ab8987f20f4d141d7a03bb3798da8be5024cda,1f8b3212a47db08edeb8a252ce4b2de154126fae,,3,0,24,6,False,True,True,3,False,,,,,,False
83,refs/heads/master,c3ab8987f20f4d141d7a03bb3798da8be5024cda,4be680bad62723384df8dc7a68f0c1f207e6401b,4bea3b4464616b2a063ba5eebbdb965a2bd20979,,6,0,52,18,False,True,True,6,False,,,,,,False
84,refs/heads/master,4be680bad62723384df8dc7a68f0c1f207e6401b,c9215500e85bc2d2d56bbee6d64dcb4f6d5c1416,62c71b4ea375821ba8c9244f5504c25ddf35ce00,,15,0,488,51,False,True,True,15,False,,,,,,False
85,refs/heads/master,c9215500e85bc2d2d56bbee6d64dcb4f6d5c1416,db924eb7ec2c42902b07d4080fcd089b4c73a80b,1a59c9202a6740ee864e6f65930d817237bde690,,2,0,1,1,False,False,True,2,False,,,,,,False
86,refs/heads/master,db924eb7ec2c42902b07d4080fcd089b4c73a80b,d71acedc66938e66051fd5ea140f73fdc928bee2,5271557a68fa21856c0303d67688f95d763fb8b0,,2,0,5,2,False,False,True,2,False,,,,,,False
87,refs/heads/master,d71acedc66938e66051fd5ea140f73fdc928bee2,bcd66af4a7b82512b357cc21cc1c55196cde3d38,51e075c5d6284df128e6ae0df3a9fc33046812a2,,49,0,1779,55,False,True,True,49,False,,,,,,False
88,refs/heads/master,bcd66af4a7b82512b357cc21cc1c55196cde3d38,81b80b8c2bca2e57d2ecca58840a3e25cb4c3b45,76bfd3c6c34f3afc345d4c5ffa0dfff2b55823b6,,9,0,208,11,False,True,True,9,False,,,,,,False
89,refs/heads/master,81b80b8c2bca2e57d2ecca58840a3e25cb4c3b45,d6beb122311a1f4933d6299924201d8943132d9b,ef88f31f9e9b9ef75bcd0ae4aea94ef412baebfb,,8,0,83,12,False,False,True,8,False,,,,,,False
90,refs/heads/master,d6beb122311a1f4933d6299924201d8943132d9b,a5533d3d92588aa8f67eb04237794535d3b664b2,3f72b728d7e2f57a2f6002c37db4451a0c7f1615,,2,0,1,1,False,False,True,2,False,,,,,,False
91,refs/heads/master,a5533d3d92588aa8f67eb04237794535d3b664b2,374305287dda985bcaa299913b811de560139148,8bd7f685920f67ebbff11900922ddb9059a60a2c,,2,0,2,1,False,False,True,2,False,,,,,,False
92,refs/heads/master,374305287dda985bcaa299913b811de560139148,4edcc7b262f49f34a7bed5f9d914988e11cf327b,6050f411139acd2986d00dc54d2fa09f2c1b006c,,2,0,29,6,False,False,True,2,False,,,,,,False
94,refs/heads/master,34b2f9935aec9ee74a4e26056041b484bdf6c884,225213fc1ae0cf8211627d855876b6b73622f0ee,4cd6970a849b9e24cc58385a65d1259881b936ee,,4,1,4,4,False,True,True,4,False,,,,,,False
95,refs/remotes/origin/pull/112,2cab34c6efa454d6ee1628519fa977185290433d,d6cd6711be907e88e625ea96b1e45fc438168ed7,32324c30dccc6f982a4a3cd35b39b7176ff8852f,,39,1,1639,112,False,True,True,39,False,,,,,,False
96,refs/remotes/origin/pull/114,776dac155c520070b4cabc042955433a5dcf5882,d6cd6711be907e88e625ea96b1e45fc438168ed7,eba9e169de0fdfb651bed70742a4065ab63549b8,,6,1,630,35,False,True,True,6,False,,,,,,False
