idx,branch_name,merge,left,right,notes,diff_size,diff_contains_java_file,left_tree_fingerprint,left parent test result,left parent test coverage,parents pass,right_tree_fingerprint,right parent test result,right parent test coverage,test merge,sampled for testing
63,refs/heads/master,a54bea87af5520efdb975af5e59a27b8f72c2880,1d807180ebdb038d2c87d559e2ff1e6deb55aabc,1ed8bb639f7214862814be96d14eed710dd3778a,,3,True,ea2e555e8f3072e5e6097e2cd3caba417906bd34b9dd3cd2d245950882a3fe49,Tests_failed,0.0,False,3a712cd7af7ee0dd951c9e1bc350a8e717821b30f2ea0dc34c902d78f1d56864,Tests_failed,0.0,False,False
64,refs/heads/master,4ae3756ab437b7266138030dc18f32c54ffaa26f,9aab299e447a0f84d4d8c8a4dbeee39480474f7d,13501cf6c5628386f6265890e46b4dac8b2018a5,,37,False,21f91155e00c60be8735cb526de2f147b8081ca9699fe27862119edc7b4c3076,Tests_failed,0.0,False,61a1b8bb4619d479117059a6bf496cb6721910bca6182244b32faf24ae4986d6,Tests_failed,0.0,False,False
65,refs/heads/master,9aab299e447a0f84d4d8c8a4dbeee39480474f7d,c0d59a85464ef1894d132bd4b6ab593430c85304,15529628ce27eff84888e95b14f8f882386573cc,,36,True,78abfbd59bc883f23c5c45f6b292e0871c543050ac759bda407f5bd4121abda9,Tests_failed,0.0,False,1a42b0a872d8019ebf8cdc29285952059df2f0e4c8cd00a0ce2afe8ebb84ccda,Tests_failed,0.0,False,False
66,refs/heads/master,c0d59a85464ef1894d132bd4b6ab593430c85304,bc1929807b5db5f08258344db182e897b1c3d5b4,1e21d95ef5bb8e4c193dcb57b36389c44b20b58c,,7,True,6610c0bf0fdd597ecb9b21d5bc7579e047768e5d006293b3814a5e4b3f7fac09,Tests_failed,0.0,False,01defc0a6fd8bd1e55d7f8616be9108d5c6b45db28cf11898223bb3ddec2b1ac,Tests_failed,0.0,False,False
68,refs/heads/master,97591b837275b6860b5690b010a333687e6e6fdc,9adb7b6fa35f1fb9eb3d4bda7175a910c78a1159,8a759c92644e7e62f2a437a4feef68ee45b79f76,,44,False,,,,,,,,False,False
70,refs/heads/master,8c7845e92fc37238cbcdf0d2e723ee97bde6b9b0,d1c063ade411ebd31fce66b5850a6a30da3fb3b8,f65bf950b8e1f1d66a1710c04b8aba7cbf03d988,,26,False,,,,,,,,False,False
71,refs/heads/master,e44b3aafa98e568647c6445f0fa05db0472d429c,cc00981b7d68e57fa796bb25a3f579ea97b81077,ee4790da3419a041478c04091ed46cf3bbd3ccd0,,322,False,,,,,,,,False,False
72,refs/heads/master,cc00981b7d68e57fa796bb25a3f579ea97b81077,cf2aa1fa04b920b49818c57eda15e2826b076394,7476c406286a5f256a4071122d605ab71fa33347,,3,False,,,,,,,,False,False
73,refs/heads/master,cf2aa1fa04b920b49818c57eda15e2826b076394,9faaaddbc184128aed25a507e56b8ec95dfd6241,d5fbfc855cef50c8f4e49b66ee43f884880e5db1,,347,True,adbfa656186f532b566bcfc3facabea16b3f2ed68d91890ecc9e2aa0bcb3f516,Tests_failed,0.0,False,9886018503b687a1e4e814f797e5fb12835db919ea5a7d7e00d767a58200d8e6,Tests_failed,0.0,False,False
75,refs/heads/master,caeb4b457493495f8335de8a2db46162df0aa11f,e4cf402cff93193c8e5ac42276307abbe4585cc1,0d29a32ff98b7af1a1149d47aba10bedec38024e,,137,True,ce151b1ea51badaba7e882e4c4310d20faf52048d83d9272a226387c639d1358,Tests_failed,0.0,False,1439fe12b50017428a04af2b8dae0e91c8835988262e804356a6386706363f61,Tests_failed,0.0,False,False
76,refs/heads/master,d740e466c671ef8c3b70b908a77ccead5bfb3d26,27f9d3500c7d46123673b95e97581983cfc8bb52,05eb42e1bdf6825cdfcfdb0b91ca5cb6fa5c943d,,274,True,7bebfc533857ee1f4a7cbcb34a3c46b2e3a0674db5261dc5d06b3848d836b9b8,Tests_failed,0.0,False,8d49709fc66f0b66c9baa049e8ad3d885f6d729a63bdbcde790feb0ab0194fc6,Tests_failed,0.0,False,False
77,refs/heads/master,6d20bfa5a61c974463ba09a9374059d3c8aa4282,5e8ac71922ed6aaf1ba59089d1e57fe9f13bccf5,8d81ef96b65181cde3e040304301584377568dc5,,735,True,b81267c969494cddc8112e8081febea5b17ba5907c62473de80a851f54ca0462,Tests_failed,0.0,False,e1a368ea1bcf48c9b8f82e1f693d975a6bc37032ffdbfffcb073bfe625516b58,Tests_failed,0.0,False,False
78,refs/heads/master,3fb01e2cc847adb8519be32a5ab4830425dcdd74,48206e7d45df34d1fd771e03ffb91738038e2ae4,83ba4b3c73459e8a30253ff4f527c93d722f480b,,11986,True,f6a4f19d9e0886cba94b6277fea33e6c88bdad56425d5b0e7965ff787e21c458,Tests_failed,0.0,False,2467f0730b880658f8f95ac74125dae8cbb1dadf466625dfbcb55bba25a8d6b4,Tests_failed,0.0,False,False
79,refs/heads/master,c1b9f38d3a708d08894ad1892bd799d74bfa0896,55e329aa32849eaee60a4006dbbf29b76321dd49,847ada1ebe897deddfe54a1ee2c4490d953ce028,,118,True,8f3f9336397fdc6f473cc78d1bcc71eaef3516dffbaa1b685f56510c423b94eb,Tests_failed,0.0,False,5c361b2e64b2fd5a7add7d2f4c94c7c399ea3ff71116170a4c34c1ab73462e98,Tests_failed,0.0,False,False
