idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing
75,refs/heads/master,f61f1a46fa1fb196f877d0cdf0915ee0b58d1849,43328a32363c35d90a8f96eb2d30916d1d23b53d,450d8fbaf96061129d02abeaaa6e5e4d0a2db9d5,,False,True,True,3,121,False,,,,,,False
77,refs/heads/master,dcbf28424b566af75b741c2c182704dc3ea31f0c,9bf868bb34257053dfacfc87bfd241912506d7dc,4020e30ffcd7ab313df67b83c0af124857a6512d,,True,False,True,3,19,False,050e792accbb626e48bc91ab8eaaa34ca50d7d5aadba080c6559da12ada2e956,Tests_timedout,a7801af542169a08a5bbf1311d038cf542f6ec48f624777c1aa1e4e9acda6d2f,Tests_timedout,False,False
79,refs/heads/master,3e4d08ebf3f5e72c0f56dab53d2a114f6f9cf2f4,b0e6d7e3713984e46b0153386050dddabc2b4125,fbfe4d7c3178009eb32e346151ab22711e250033,,False,True,True,5,108,False,,,,,,False
80,refs/heads/master,932fff4c18b6745c47c5f77076eb1493159f5a09,500bf853ca4f0436cf5ee1b5efd034757b6ba231,a621bfe18fdecdb9683b4cfcbdc41ec16eff23d4,,False,True,True,8,203,False,,,,,,False
87,refs/heads/master,de204cf7de42cad9231171e88c7bc55bcda873d5,1dec0c6a6849d5d4620670071c447bea764dc6cb,075c04a10b6844f843bb7163c480919281ad2bb4,,False,True,True,8,664,False,,,,,,False
89,refs/heads/master,316689660dbfae42d5e4a2e2602f89e1dd6d24e9,b09db1a16efa710c41c392d944ade7e9cd829b8d,a357c4c3731e02df446ab5014ab8cae2cdd9281e,,False,False,True,3,16,False,,,,,,False
92,refs/heads/master,f930a5d4a5cbb63f0b9a91784be3d1d42e207b66,9cab2c920eea64cea7cd9e698f149f86502afcbb,840428f368a35e9923ec34b24875da03ded9401f,,False,False,True,2,4,False,,,,,,False
95,refs/heads/master,617bb5d4dc7df659ed24460a988fa4ccaf3e0258,f2f1e7a1e7d4cfea720718f899f58f95ee1d6d5a,c15405f94b47ec9dca491cb2bee261c527cbb825,,False,True,True,8,54,False,,,,,,False
96,refs/heads/master,f2f1e7a1e7d4cfea720718f899f58f95ee1d6d5a,3fc2c74d3dfb6a1e0d86f81136a943653c2a096f,21ccf6298d16e7d428b8afa5a690e8ec6afa094e,,False,True,True,4,36,False,,,,,,False
97,refs/heads/master,3fc2c74d3dfb6a1e0d86f81136a943653c2a096f,b604618faab184a32d7efbb528ea66f28e4bfdca,c28d6d6214dab39e3700198a904c962301180871,,False,True,True,18,1628,False,,,,,,False
